,label,question_text
229,1,"If Seller agrees in writing to repair or restore the Property to its condition on the date of execution of this Agreement prior to Closing, then Buyer shall be obligated to close this transaction in accordance with the terms hereof."
268,1,"If Seller fails to perform any covenant or agreement of Seller contained herein, Buyer may terminate this Agreement and receive a refund of the Earnest Money within 30 calendar days of the first occurrence of such failure to perform."
310,1,Buyer shall have to engage a suitable tax-free exchange accommodator or facilitator within the date ten (10) days after full execution of this Agreement.
346,1,"If Buyer is unable to obtain such commitment within the time specified herein, Buyer must notify Seller, and this Agreement shall be terminated and all amounts paid shall be returned to Buyer."
357,1,Seller has neither knowledge nor notice of any pending public agency hearings or appeals affecting the Property and will promptly notify Buyer if Seller receives notice or learns of any such hearings between the signing of this Agreement and the date of the Closing.
373,1,Any liens for real property taxes or assessments created or attaching between the date of the Title Policy and the date the deed or instrument of transfer is recorded.
376,1,"Promptly after the date hereof, Buyer shall order a preliminary title report from the Title Company."
377,1,"Within __________ days of receiving the report, Buyer shall forward a copy of the report to Seller and shall notify Seller of any objections to title in the report or otherwise known to Buyer."
382,1,Buyer has the right to make a final inspection of the Property prior to the Closing.
397,1,"On or before the Closing, Seller shall pay one half of any escrow or closing fees."
419,1,"In the event that all or a portion of the Property is destroyed or otherwise materially damaged prior to the Closing, Buyer shall have the option (a) to complete the Transaction and receive any insurance proceeds payable or (b) to terminate this Agreement and be refunded any amounts previously paid under this Agreement."
495,1,"Buyer agrees to be responsible for homeowners association and private and public utility service transfer fees, if any, and all utilities and other services provided to the Property after the Settlement Deadline."
496,1,The actions described in 3.5 (b) and (c) shall be completed within four calendar days after Settlement.
497,1,Seller shall deliver physical possession of the Property to Buyer within __ Calendar Days after Closing.
499,1,"No later than the Seller Disclosure Deadline referenced in Section 24(a), Seller shall provide to Buyer the following documents in hard copy or electronic format which are collectively referred to as the ""Seller Disclosures""."
506,1,"If Buyer, in Buyers sole discretion, is not satisfied with the terms and conditions of the Loan, Buyer may cancel the REPC by providing written notice to Seller no later than the Financing & Appraisal Deadline."
512,1,"No earlier than seven calendar days prior to Settlement, Buyer may conduct a final pre-Settlement walk-through inspection of the Property to determine."
513,1,"If the items are not as represented, Seller agrees to cause all applicable items to be corrected, repaired or replaced prior to the Settlement Deadline."
515,1,"If the Work is not completed within thirty (30) calendar days after the Settlement Deadline, the amount so escrowed may, subject to Lenders approval, be released to Buyer as liquidated damages for failure to complete the Work."
517,1,"Seller agrees that from the date of Acceptance until the date of Closing, none of the following shall occur without the prior written consent of Buyer."
693,1,"On or before _____, 20___, the Buyer will provide the Seller a letter from a credible financial institution verifying a satisfactory credit report, acceptable income, source of down payment, availability of funds to close, and that the loan approval is not contingent on the lease, sale, or recording of another property;"
694,1,"In the event the Buyer fails to produce the aforementioned letter or other acceptable verification by the date above in Section V(c), this Agreement may be terminated at the election of the Seller with written notice provided to the Buyer within ____ days from the date in Section V(c);  "
705,1,"In the event Buyer fails to obtain Sellers approval, this Agreement shall be terminated with the Buyers Earnest Money being returned within five (5) business days."
716,1,"Buyer and Seller agree that before the recording can take place, funds provided shall be in one (1) of the following forms: cash, interbank electronic transfer, money order, certified check or cashiers check drawn on a financial institution located in the State, or any above combination that permits the Seller to convert the deposit to cash no later than the next business day."
725,1,"Before the Closing, Buyer may obtain a survey of the Property to assure that there are no defects, encroachments, overlaps, boundary line or acreage disputes, or other such matters, that would be disclosed by a survey."
727,1,"Not later than ____ business days prior to the Closing, Buyer shall notify Seller of any Survey Problems which shall be deemed to be a defect in the title to the Property."
728,1,Seller shall be required to remedy such defects within ____ business days.
742,1,"After Closing, Buyer shall receive an owners standard form policy of title insurance insuring marketable title in the Property to Buyer in the amount of the Purchase Price, free and clear of the objections and all other title exceptions agreed to be removed as part of this transaction."
748,1,"Therefore, Buyer shall hold the right to hire licensed contractors, or other qualified professionals, to further inspect and investigate the Property until ___ ,at ____."
749,1,"After all inspections are completed, Buyer shall have until _____, at ____."
766,1,"Prior to the Closing, the Parties agree to authorize all necessary documents, in good faith, in order to record the transaction under the conditions required by the recorder, title company, lender, or any other public or private entity."
769,1,"In the event this Agreement is terminated, as provided in this Agreement, absent of default, any Earnest Money shall be returned to the Buyer, in-full, with all parties being relieved of their obligations as set forth herein within ____ business days."
848,1,"____ will be promptly delivered to Escrow Agent no later than 5:00 PM, three (3) calendar days after the Acceptance Date."
863,1,Taxes for ___ prior years and any special assessments approved must be paid by Seller at or before closing.
879,1,"If Seller does not agree to perform such repairs, or does not reply within the time limit, this Agreement will cancel and all Earnest Money must be refunded to Buyer."
885,1,"All inspections and investigations must be completed with response to Seller no later than 5:00 PM, ten (10) calendar days after the Acceptance Date."
892,1,"If it is discovered that any permanent structure on the property has an active wood destroying  insect infestation during the Due Diligence Period , the Seller, upon Buyer's request, must professionally treat infestation before closing at Seller's expense."
948,1,Buyer shall provide Seller written third (3rd) party documentation verifying sufficient funds to close no later than _______.
964,1,"Therefore, such Seller Financing is contingent upon Sellers approval of the requested documentation to be provided on or before ________."
966,1,"In the event Buyer fails to obtain Seller's approval, this Agreement shall be terminated with any amounts previously paid under this Agreement refunded within ____ business days."
970,1,"After acceptance by all Parties, the Buyer agrees to make a payment in the amount of $_______________ (Earnest Money) as consideration no later than ___________."
986,1,G.Seller has neither knowledge nor notice of any pending public agency hearings or appeals affecting the Property and will promptly notify Buyer if Seller receives notice or learns of any such hearings between the signing of this Agreement and the date of the Closing.
997,1,"If Buyer and Seller are unable to reach an agreement regarding fixing or remedying the unsatisfactory conditions no later than ______, Buyer shall have the right to terminate this Agreement and be refunded any amounts previously paid under this Agreement."
1030,1,"Prior to the Closing, the Parties agree to authorize all necessary documents, in good faith, in order to record the transaction under the conditions required by the recorder, title company, lender, or any other public or private entity."
1041,1,"On or before the Closing, Seller shall pay half of any escrow or closing fees."
1042,1,"On or before the Closing, Buyer shall pay half of any escrow or closing fees."
1058,1,"In the event this Agreement is terminated, as provided in this Agreement, absent of default, the Buyer shall be refunded any amounts previously paid, in full, within ____ business days."
1060,1,"Seller assumes the risk of loss or damage by fire, natural disaster or other casualties to the Property until the Closing."
1061,1,"In the event that all or a portion of the Property is destroyed or otherwise materially damaged prior to the Closing, the Buyer shall have the option to complete the Transaction and receive any insurance proceeds payable or terminate this Agreement and be refunded any amounts previously paid under this Agreement."
1078,1,"In the event a bankruptcy petition is filed naming Seller as a debtor under any Bankruptcy Code, between the signing of this Agreement and the Closing, then this Agreement shall be terminated and the Buyer shall be entitled to a refund of any and all sums paid under this Agreement."
1149,1,BUYERS agree upon acceptance of this offer to make application for such mortgage with a commercial mortgage lender and to exercise good faith efforts to obtain a mortgage commitment as above provided within three (3) business days.
1151,1,"If BUYERS have not delivered a written financing contingency, release containing the above terms, or terms acceptable to SELLERS on or before __."
1164,1,"Unless sale and settlement of BUYERS' property is made within five (5) business days of such notice, then this Agreement shall be null and void."
1214,1,"IF THE SELLERS FAIL TO RESPOND TO THE BUYERS' REMEDY REQUEST WITHIN THE TIME SPECIFIED HEREIN, BUYERS MAY DECLARE THE OFFER NULL AND VOID AND ALL EARNEST MONEY SHALL BE RETURNED."
1223,1,"The cost of mitigation, if necessary, shall be negotiated within the time frames."
1246,1,"In the event of substantial damage or destruction prior to closing, this Purchase Agreement shall be null and void."
1267,1,"If BUYERS intend to assume or take subject to a lien on the Property, prior to closing  SELLERS shall furnish BUYERS with a written statement from the holder of such lien, showing the correct balance due ."
1276,1,The BUYERS may have the Property surveyed at their expense within __ days of acceptance of offer.
1322,1,"Landlord will send Tenant a notice in writing sixty (60) days prior to the expiration date of this Lease verifying that the Lease has been renewed for another year (""Notice to Renew"")."
1384,1,"When changing locks, Tenant must give Landlord a key within 24 hours."
1418,1,Either  party  may terminate this lease upon thirty (30) days prior written notice to the other party.
1424,1,"If Tenant fully performs its obligations hereunder, the security deposit, or balance, shall promptly be returned to Tenant after the termination of this Lease."
1426,1,Tenant agree to pay Landlord rental payments on the first day of each month during the Term of this Lease.
1429,1,Landlord shall consider rent received by mail after the due date as timely paid as long as it is post-marked by the due date.
1431,1,"If Tenant fails to pay any installment of rent or any other amount within five (5) days of the due date, the Tenant shall pay Landlord a late payment charge in the amount of $ ."
1495,1,"Before 1978, you are required by law to provide a Lead-Based Paint Disclosure to the Tenant."
1513,1,"if possession is tendered within such time, Tenant agrees to accept the demised Premises and pay the rental herein provided from that date."
1514,1,"In the event possession cannot be delivered within such time, then this Agreement and all rights hereunder shall terminate."
1517,1,"If rent is not paid within ____ days, landlord may terminate this rental agreement."
1518,1,"After the ____ day of the month, rent paid will be subject to a late charge of $____."
1544,1,Landlord and Landlord's agents shall have the right at all reasonable times during the term of this Agreement.
1548,1,"Tenant shall deposit with Landlord the sum of $ _____ receipt of which is hereby acknowledged by Landlord, as security for any damage caused to the Premises during the term hereof."
1549,1,"Such deposit shall be returned to Tenant, without interest, and less any set off for damages to the Premises upon the termination of this Agreement."
1562,1,"If Tenant fails to comply with any of the material provisions of this Agreement, other than the covenant to pay rent, or of any present rules and regulations or any that may be hereafter prescribed by Landlord, or materially fails to comply with any duties imposed on Tenant by statute, within _____ days after delivery of written notice by Landlord specifying the non-compliance and indicating the intention of Landlord to terminate the Arkansas Lease by reason thereof, Landlord may terminate this Agreement. "
1575,1,Tenant shall inspect and certify that the Premises has a working smoke detector or detectors within _____ days after taking possession thereof.
1597,1,The Landlord and Tenant(s) agree to the terms and conditions and shall be bound until the end of the Lease Term.
1616,1,"If the landlord or tenant does not want to renew the lease, he must give the other days written notice before the end of the term."
1626,1,"After the first year, the landlord must reduce the security deposit to no more than one month's rent"
1630,1,"The LANDLORD can deduct these charges, if any, from the security deposit and will return the balance within (30) thirty days."
1674,1,"If the tenant fails to pay any one-month's rent before the due date, the LANDLORD may end this lease immediately and file a lawsuit to evict the tenant."
1680,1,The property will be considered abandoned by the tenant if the tenant leaves personal belongings in the property after the end of the lease.
1725,1,"If all or any portion of the security deposit is used, Tenant agrees to reinstate the total security deposit within five days after written notice is delivered to Tenant. "
1726,1,"Within 30 days after Tenant vacates the Premises, returns keys and leaves forwarding address, Landlord shall (1) furnish Tenant an itemized statement indicating the amount of any security deposit received and the basis for its disposition, and (2) return any remaining portion of security deposit to Tenant."
1728,1,"If Broker's authority is terminated before expiration of this Agreement, Broker shall notify Tenant, in writing, where and to whom security deposit has been released."
1753,1,"If any installment of rent due from Tenant is not received by Landlord within 5 calendar days after the due date, an additional sum of $  as Late Charge and $25.00 as a NSF fee, either or both of which shall be deemed additional rent."
1761,1,Tenant will provide Landlord a list of items which are damaged or not in operable condition within 3 days after Commencement Date.
1809,1,"Upon termination of Agreement, Tenant shall: (a) give Landlord all copies of all keys or opening devices to Premises, including any common areas; (b) vacate Premises and surrender it to Landlord empty of all persons; (c) vacate any/all parking and/or storage space; (d) deliver Premises to Landlord in the same condition as referenced in paragraph 9; (e) clean Premises, including professional cleaning of carpet and drapes; (f) give written notice to Landlord or Tenant's forwarding address. "
1860,1,"Tenant shall deposit with Landlord the sum of  DOLLARS ($  ) receipt of which is hereby acknowledged by Landlord, as security for any damage caused to the Premises during the term hereof."
1863,1,"The Premises shall be used and occupied by Tenant and Tenant's immediate family, consisting of    , exclusively, as a private single family dwelling, and no part of the Premises shall be used by Tenant for the purpose of carrying on any business, profession, or trade of any kind, or for any purpose other than as a private single family dwelling at any time during the term of this Agreement."
1878,1,"If possession is tendered within such time, Tenant agrees to accept the demised Premises and pay the rental herein provided."
1879,1,"In the event possession cannot be delivered within such time, then this Agreement and all rights hereunder shall terminate."
1885,1,"Tenant will, at its sole expense, keep and maintain the Premises and appurtenances in good and sanitary condition and repair during the term of this Agreement."
1907,1,Landlord and Landlord's agents shall have the right at all reasonable times during the term of this Agreement.
1909,1,"Landlord and its agents shall further have the right to exhibit the Premises and to display the usual ""for sale"", ""for rent"" or ""vacancy"" signs on the Premises at any time within forty- five (45) days before the expiration of this Lease."
1916,1,"Upon the expiration of the term hereof, Tenant shall surrender the Premises in as good a state and condition as they were at the commencement of this Agreement, reasonable use and wear and tear thereof and damages by the elements excepted."
1924,1,"If Tenant fails to comply with any of the material provisions of this Agreement, other than the covenant to pay rent, or of any present rules and regulations or any that may be hereafter prescribed by Landlord, or materially fails to comply with any duties imposed on Tenant by statute, within seven (7) days after delivery of written notice by Landlord specifying the non-compliance and indicating the intention of Landlord to terminate the Lease by reason thereof, Landlord may terminate this Agreement."
1927,1,"In the event that any payment required to be paid by Tenant hereunder is not made within three (3) days, Tenant shall pay to Landlord, in addition to such payment or other charges due hereunder, a ""late fee"" in the amount of   DOLLARS($  )."
1929,1,"If Tenant abandons the Premises or any part thereof at any time during the term of this Agreement, Landlord may, at Landlord's option, obtain possession of the Premises in the manner provided by law, and without becoming liable to Tenant for damages or for any payment of any kind whatever."
1970,1,"In the event that Landlord accepts new rent from Tenant after the termination date, a month-to month tenancy shall be created. "
1994,1,"Upon termination of the tenancy, all funds held by the landlord as security deposit may be applied to the payment of accrued rent and the amount of damages that the landlord has suffered by reason of the tenant's noncompliance with the terms of this Ohio Lease Agreement or with any and all laws, ordinances, rules and orders of any and all governmental or quasi-governmental authorities affecting the cleanliness, use, occupancy and preservation of the Premises."
1997,1,"If deductions exceed the security deposit, Tenant will pay to Landlord the excess within ten days after Landlord makes written demand. "
2013,1,"In the event Landlord can not deliver possession of the Premises to Tenant upon the commencement of the Lease term, then Landlord or its agents shall have no liability."
2015,1,"if possession is tendered within such time, Tenant agrees to accept the demised Premises and pay the rental herein."
2016,1,"In the event possession cannot be delivered within such time, then this Agreement and all rights hereunder shall terminate."
2022,1,"Tenant will, at its sole expense, keep and maintain the Premises and appurtenances in good and sanitary condition and repair during the term of this Ohio Lease Agreement and any renewal thereof."
2049,1,"If Tenant fails to comply with any of the material provisions of this Ohio Lease Agreement, other than the covenant to pay rent, or of any present rules and regulations or any that may be hereafter prescribed by Landlord, or materially fails to comply with any duties imposed on Tenant by statute, within seven (7) days after delivery of written notice by Landlord specifying the noncompliance and indicating the intention of Landlord to terminate the Lease by reason thereof, Landlord may terminate this Ohio Lease Agreement. "
2052,1,"If Tenant abandons the Premises or any part thereof at any time during the term of this Ohio Lease Agreement , Landlord may, at Landlord's option, obtain possession of the Premises in the manner provided by law, and without becoming liable to Tenant for damages or for any payment of any kind whatever."
2091,1,"The term of this Agreement shall be a period of one (1) year, between ____ and _____."
2095,1,Written notice of termination is to be given by either party before the designated date of termination.
2129,1,"To Landlord's knowledge, this house was built before 1978."
2139,1,"If so performed by Landlord, Tenant shall reimburse Landlord for the cost of such work within ten (10) days after written notice."
2166,1,Tenant fails to pay rent or any other charges due under this Agreement within ten (10) days after the due date.
2167,1,Tenant fails to cure the same within five (5) days after written notice thereof from Landlord.
2186,1,Tenant shall inspect and certify that the Premises has a working smoke detector or detectors within three (3) days after taking possession thereof.
2219,1,"Within 21 days of the TENANT vacating the premises, LANDLORD shall furnish TENANT a written statement indicating any amounts deducted from the security deposit and returning the balance to the TENANT."
2262,1,LANDLORD may enter and inspect the premises during normal business hours.
2334,1,"On or after July 1, 2018, for residential leases entered into, the landlord must incorporate the following disclosures into the lease in type no smaller than 8-point font:"
2387,1,The Tenant is responsible to reimburse Owner for these costs within thirty (30) days of demand for payment.
2399,1,"If the Tenant renders that unit uninhabitable, Tenant shall still be responsible to pay for the rent during the time."
2421,1,"Within thirty (30) days of demand for payment, failure to reimburse Owner from Owner shall constitute a lease violation and Tenant shall be subject to eviction."
2444,1,"The lease terminates if the Tenant terminates the lease with a minimum of thirty (30) calendar days written notice, but not more than sixty (60) days, after the initial term."
2481,1,"After deducting the amount, if any, used to reimburse the Owner, the Owner must promptly refund the full amount of the unused balance to the Tenant within fourteen (14) days."
2516,1,"If the Tenant vacates the unit prior to the expiration of the initial term, Tenant shall be liable to pay Owner for all reasonable costs incurred by Owner in turning over the unit."
2531,1,"Upon expiration, this Agreement shall become a month-to-month agreement AUTOMATICALLY."
2554,1,"This deposit money minus any necessary charges for missing/dead light bulbs, repairs, cleaning, etc., will then be returned to Tenant with a written explanation of deductions, within 60 days after they have vacated the property."
2586,1,Owners charge a fee of $   for providing this service between the hours of 8 am and 6 pm.
2590,1,"If there is anything about the condition of the property that is not good, they agree to report it to the Landlord within 3 days of taking possession of the property."
2616,1,They specifically authorize Landlord to deduct amounts of unpaid bills from their Security Deposits in the event they remain unpaid after termination of this agreement. 
2691,1,You agree to pay us $  as of the date of this Lease.
2694,1,"If we have not received your Monthly Rent within ___ days of the due date, you will pay interest at the rate of  % per month on the amount due."
2739,1,You agree to pay us the Security Deposit as of the  date of this Lease.
2742,1,"If you have carried out your promises under this Lease, we shall return the Security Deposit to you within 30 days after the termination of your tenancy."
2748,1,"If we keep all or any part of your Security Deposit, within the time required by law we will give you a list itemizing the nature and amount of the damages we have suffered because of your broken promises."
2753,1,"During any such vacancy, you agree to maintain the temperature in the Dwelling at not less than 60 degrees."
2758,1,"If you remain in the Dwelling without our written consent past the term of this Lease, we may, at our option, elect to construe such holding over by you as a tenancy from month to month, subject to all of the other terms and conditions in this Lease, except the Monthly Rent which shall be two times the amount of the Monthly Rent during the last month of the Lease Term."
2777,1,you move out of the Dwelling before the end of the Lease Term.
2783,1,"If we have to serve you with a notice to quit possession of the Dwelling during the term of this Lease, you will pay us damages in an amount equivalent to the per diem Monthly Rent for each day after you vacate. "
2792,1,"Within 60 days of the end of the Lease if it becomes necessary to us, you shall permit us or brokers to show the Dwelling to prospective or actual tenants, buyers, appraisers or mortgage lenders, to hold Broker open houses and to place a key box upon the Dwelling for the showing of the Dwelling by brokers to prospective tenants or buyers."
2795,1,you may vacate the Dwelling and notify us in writing within 14 days of your intention to end this Lease.
2823,1,Your rights under this Lease shall end at our option if an attachment or execution is levied against your estate and not satisfied within 72 hours.
2864,1,"If the Tenant plans to leave on or after the first of any month, they are responsible for that month's full rent."
2870,1,"At the signing of this Lease, Tenant shall deposit with Landlord, in trust, a security deposit of $_________ as security for the performance by Tenant of the terms under this Lease and for any damages caused by Tenant, Tenant's family, agents and visitors to the Premises during the term of this Lease."
2888,1,"Landlord may, at its option, hold Tenant liable for any difference between the rent that would have been payable under this Lease during the balance of the unexpired term."
2889,1,"In the event Landlord is unable to re-let the Premises during any remaining term of this Lease, after default by Tenant, Landlord may at its option hold Tenant liable for the balance of the unpaid rent under this Lease."
2904,1,"If during the term of this Lease, in Tenant's opinion, the conditions change, Tenant shall promptly provided reasonable notice to Landlord."
2920,1,"If the Premises or part of the Premises are damaged or destroyed by fire or other casualty not due to Tenant's negligence, the rent will be abated during the time that the Premises are uninhabitable."
2924,1,"Tenant will, at Tenant's sole expense, keep and maintain the Premises in good, clean and sanitary condition and repair during the term of this Lease and any renewal thereof."
2936,1,"In the event Tenant remains in possession the Premises for any period after the expiration of the Lease Term, a new month-to-month tenancy shall be created subject to the same terms and conditions of this Lease at a monthly rental rate of the same in this agreement."
2940,1,"If Tenant abandons the Premises of any personal property during the term of this Lease, Landlord may at is option enter the Premises by any legal means without liability to Tenant and may at Landlord's option terminate the Lease."
2981,1,"Landlord or Landlord's agent may display ""For Sale"" or ""For Rent"" or ""Vacancy"" or similar signs on or about the Premises and enter to show the Premises to prospective tenants during the last ____ days of this Lease."
3021,1,"If Tenant fails to give the notice required by Section 17 below prior to expiration of the term, the term of this Agreement will be extended on a month-to-month basis thereafter."
3034,1,"In the event Tenant fails to pay rent when due, Tenant shall pay a late fee of $  plus $  per day for each day after  days that the sum was due."
3044,1,"Upon execution of this Agreement, Tenant shall deposit with Property Manager  as a Security Deposit the sum stated in Section 1."
3046,1,"during the term of this Agreement, the Landlord may claim, from the Security Deposit, such amounts due to Landlord under this Agreement."
3047,1,"Upon termination of the tenancy, Tenant agrees to provide Landlord with a forwarding address to prevent a delay in receiving the accounting and any refund."
3049,1,"Upon execution of the Agreement, Tenant shall receive the following:"
3050,1,Tenant shall make a key deposit (if any) in the amount set fourth in Section 1 upon execution of this Agreement.
3063,1,"For all  utilities marked with a ""T"", Tenant is responsible for connecting these utilities in Tenant's name immediately upon commencement of this Agreement ."
3067,1,"Property Manager will invoice Tenant monthly for Special Utilities, and payment of each invoice is due within fifteen (15) days of the date of an invoice."
3095,1,Such notice shall be in writing and shall be provided to Property Manager prior to the first day of the last month of the lease term set in Section 3 of this Agreement.
3100,1,"Upon termination of the tenancy, Tenant shall surrender and vacate the Premises and shall remove all personal property except for personal property belonging to Landlord."
3110,1,Tenant agrees to make such report immediately and in any case within 24 hours of the occurrence.
3132,1,Tenant agrees to test smoke detector(s) within one (1) hour after execution of this Agreement.
3189,1,The Buyer shall accept or reject the said object of sale and notify the Seller as to the rejection of in non-conformance to the standards required by the Buyer within {periodOf18}.
3196,1,"The Parties, its agents and employees, shall keep confidential the confidential information received within the course of this agreement."
3213,1,The term of this Agreement is for [NUMBER] year from the date of its execution by Provider.
3214,1,Provider will invoice Client for Services performed within [NUMBER] days of performance.
3215,1,Client will pay Provider as set forth in each Statement of Work within [NUMBER] days of receipt and acceptance of such invoice. 
3218,1,"Immediately upon receipt of said Deliverables, not more than 10 business days Client shall promptly perform testing of the Deliverables to confirm that the Deliverables perform in accordance with the documentation or other standards applicable thereto as set forth in the applicable Statement of Work."
3219,1,"Within 2 business days following the end of the Acceptance Period, Client shall either provide Provider with written acceptance of the Deliverables, or deliver to Provider a detailed written statement of nonconformities to be corrected prior to Client's acceptance of the Deliverables."
3221,1,"Unless otherwise agreed to in writing by the parties, Provider will redeliver corrected Deliverables to Client within a reasonable amount of time after receipt of such statement of nonconformities."
3223,1,"If Client fails to provide a written acceptance or a written statement of nonconformities within two (2) business days following the last Acceptance Period, the Deliverables shall be deemed immediately accepted by Client."
3237,1,"if Provider does not receive it in written form, it is declared by Client in writing to be confidential within thirty (30) days after disclosure."
3247,1,All obligations of Provider under this Section shall survive the termination of this Agreement for a period of five (5) years.
3261,1,"Upon termination or expiration of this Agreement, Provider will assemble and turn over in an orderly fashion to authorized representatives of Client all documents, write-ups, notes, computer programs, and other material related to the Services."
3263,1,The other may terminate this Agreement if the breaching party does not cure the breach within thirty (30) days of written notice of same. 
3264,1,Termination shall be without prejudice to any rights which may have been accrued to either party before termination.
3275,1,Strategic Partner grants to the Company a non-exclusive right to promote Strategic Partner's Products during the term of this Agreement.
3281,1,The initial term of this Agreement shall be one (1) year from the date hereof.
3283,1,Payments for the commission owed for all Products sold to Company Customers shall be made within 30 days after the close of the month in which purchases are made.
3286,1,Strategic Partner shall provide to the Company a written commission report within 30 days after the close of each month. 
3291,1,"Strategic Partner grants to the Company a worldwide, non-exclusive, royalty free license to produce, publicly publish and distribute, in both print and electronic form, the Strategic Partner Content during the term of this Agreement."
3322,1,Vendor appoints Company as Vendor' s non-exclusive worldwide distributor and subject to all terms and conditions of this Agreement during the term of this Agreement .
3325,1,"Vendor grants to Company a non-exclusive, non-transferrable license, during the term of this Agreement and subject to all terms and conditions of this Agreement, "
3352,1,"During the term of this Agreement, Vendor agrees to deliver to Company, for transmission to Licensees by Company, such copies of updates, enhancements, bug-fixes and corrections to or of the Products, in object code form, that Vendor may make available from time to time in Vendor's sole discretion. "
3361,1,"Company shall pay Vendor royalties for ticense of each of the Products to Licensees in the amounts calculated pursuant to the formulae set forth at Exhibit E (""Royalties""), due and payable within thirty (30) days following the end of each calendar quarter."
3363,1,Company agrees that it will achieve the Quota for Royalties paid to Vendor from Company's licensing of the Products to Licensees from or via the Site during each successive twelve (12) month period after the effective date of this Agreement.
3364,1,"The term ""Quota"" means all Royalties actually paid to Company during the twelve (12) month period."
3366,1,The Quota for subsequent twelve (12) month periods will be set by the Vendor upon ninety (90) days prior written notice.
3367,1,"In case of failure of the Vendor to otherwise notify the Company, the Quota will be equal to one hundred and fifteen percent (115%) of the Quota during the previous twelve (12) month period."
3368,1,"If Company fails to achieve the Quota in any twelve (12) month period, Vendor may terminate this Agreement upon ninety (90) days prior witten notice to Vendor."
3373,1,"Within thirty (30) days after the end of each calendar quarter, any unpaid Royalties shall accrue interest at one and one half percent (1.5%) per month."
3377,1,"Throughout the term of this Agreement, Vendor shall have the right to have its auditors examine the Records for the sole purpose of certifying the accuracy of Reports, determining the amount of Royalties due, if any, to Vendor and/or verifying Licensees of any Products."
3397,1,Party B shall undertake to solicit orders for the above commodity from customers in the above territory for not less than RMB______ during the effective period of this agreement.
3400,1,Party A shall refer to Party B any enquiries or orders for the commodity in question received by Party A from other firms in territory during the validity of this agreement.
3401,1,"Within the validity of this agreement, Party A shall bear all expenses for advertising and publicity in connection with the commodity in question in area and shall submit to PartyA all audio and video materials intended for advertising for prior approval."
3402,1,"Within the validity of this agreement, Party B may use the trade-marks owned by Party A for the sale of the Automobile paint covered herein and shall acknowledge that all patents, trademarks, copy rights or any other industrial property rights used or embodied in theAutomobile paint shall remain to be the sole properties of Party A."
